id,clusterId,Date,connectionTime,disconnectTime,Time Diff,Total Hours,donechargingTime,kWhDelivered,sessionId,siteId,spaceID,stationID,timezone,userID,,userInput
5bc90cb9f9af8b0d7fe77d07,39,"Thu, 26 Apr 2018", 02:25:14 GMT, 02:36:24 GMT,00:11:10,0.19,"Thu, 26 Apr 2018 02:36:19 GMT",1.155,2_39_128_18_2018-04-26 02:25:13.890489,2,CA-308,2-39-128-18,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77d08,39,"Thu, 26 Apr 2018", 02:36:02 GMT,04:38:47 GMT,02:02:45,2.05,"Thu, 26 Apr 2018 04:34:34 GMT",11.891,2_39_95_27_2018-04-26 02:36:01.816238,2,CA-319,2-39-95-27,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77d09,39,"Thu, 26 Apr 2018", 02:49:57 GMT, 04:24:44 GMT,01:34:47,1.58,"Thu, 26 Apr 2018 04:00:57 GMT",6.956,2_39_91_437_2018-04-26 02:49:57.469463,2,CA-317,2-39-91-437,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77d0a,39,"Thu, 26 Apr 2018", 03:07:04 GMT,03:30:00 GMT,00:22:56,0.38,"Thu, 26 Apr 2018 03:29:55 GMT",2.568,2_39_128_18_2018-04-26 03:07:04.059557,2,CA-308,2-39-128-18,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77d0b,39,"Thu, 26 Apr 2018", 03:13:44 GMT,16:47:48 GMT,13:34:04,13.57,"Thu, 26 Apr 2018 05:32:35 GMT",6.503,2_39_79_378_2018-04-26 03:13:43.624162,2,CA-326,2-39-79-378,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77d0c,39,"Thu, 26 Apr 2018", 03:33:58 GMT, 05:36:31 GMT,02:02:33,2.04,"Thu, 26 Apr 2018 04:46:04 GMT",2.272,2_39_125_559_2018-04-26 03:33:57.793302,2,CA-505,2-39-125-559,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77d0d,39,"Thu, 26 Apr 2018", 06:20:56 GMT,14:09:01 GMT,07:48:05,7.8,"Thu, 26 Apr 2018 14:08:56 GMT",13.926,2_39_139_28_2018-04-26 06:20:55.934927,2,CA-303,2-39-139-28,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68ca,39,"Thu, 26 Apr 2018",11:31:17 GMT, 12:51:36 GMT,01:20:19,1.34,"Thu, 26 Apr 2018 12:51:30 GMT",4.632,2_39_78_364_2018-04-26 11:31:16.750134,2,CA-495,2-39-78-364,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68cb,39,"Thu, 26 Apr 2018",13:25:08 GMT,25:17:37 GMT,11:52:29,11.87,"Thu, 26 Apr 2018 16:53:27 GMT",12.138,2_39_95_27_2018-04-26 13:25:08.191051,2,CA-319,2-39-95-27,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68cc,39,"Thu, 26 Apr 2018",13:54:17 GMT, 23:08:24 GMT,09:14:07,9.24,"Thu, 26 Apr 2018 23:07:12 GMT",7.108,2_39_79_380_2018-04-26 13:54:16.774334,2,CA-489,2-39-79-380,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68cd,39,"Thu, 26 Apr 2018",14:47:08 GMT, 24:59:45 GMT,10:12:37,10.21,"Fri, 27 Apr 2018 00:14:02 GMT",13.155,2_39_139_28_2018-04-26 14:47:07.799179,2,CA-303,2-39-139-28,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68ce,39,"Thu, 26 Apr 2018", 14:59:44 GMT, 23:51:12 GMT,08:51:28,8.86,"Thu, 26 Apr 2018 16:09:28 GMT",7.186,2_39_79_376_2018-04-26 14:59:44.094036,2,CA-324,2-39-79-376,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68cf,39,"Thu, 26 Apr 2018", 15:05:16 GMT,24:10:21 GMT,09:05:05,9.08,"Thu, 26 Apr 2018 16:06:18 GMT",2.354,2_39_79_381_2018-04-26 15:05:15.788498,2,CA-490,2-39-79-381,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68d0,39,"Thu, 26 Apr 2018", 15:05:56 GMT, 23:16:29 GMT,08:10:33,8.18,"Thu, 26 Apr 2018 17:09:59 GMT",13.413,2_39_88_438_2018-04-26 15:05:55.670467,2,CA-502,2-39-88-438,America/Los_Angeles,,,
